Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.111652739454959,0.1037399144113163,0.0593036527478314,0.079849961392456,0.2048839082703964,0
0.0468608255179628,0.119768030563639,0.0879523968147993,0.0660530153719446,0.0797788017676543,0
0.0562959078174606,0.0593697345863263,0.051494012376676,0.0902829750778958,0.0938588178893462,0
0.0389837407290517,0.0424276928781747,0.0195485129530882,0.0315523695344305,0.1811465295797934,0
0.0803408214263547,0.0616307873029977,0.0316972382716467,0.0380784087817659,0.0980758165240835,0
0.0341583010606118,0.0507129926922128,0.0273410808265895,0.0264473329359787,0.0369051395390307,0
0.0103912146483567,0.027319409274992,0.0297293631573532,0.036727751245544,0.0518116337204822,1
-0.0110990919298534,0.0466848945301164,0.0289096208224528,0.0132293700513003,0.0542098614583921,1
0.0084179604371259,0.05017209483353,0.0150902271959473,0.0197359384862349,0.0198549511309808,1
0.011019378189316,0.0466192970835504,0.0029366572070304,0.0142538054226246,0.0168530480291745,1
0.0065672891965252,0.0255956760833822,0.0081776442412317,0.0002922783582809,0.0150889969270125,2
0.0072872947331098,0.0153136065064183,0.015006790658623,-0.0027563257176238,0.0198822750237355,2
0.00630473807928,0.0103093649546899,0.0040837185575051,-0.0058708962895569,0.0199617794784927,2
0.0141177158710209,-0.0017990577149905,-0.0079594287797157,0.009053687668733,0.0016535978601293,5
-0.0049575489136231,0.0200292222531552,-0.0066932351599092,-0.0038736420700227,0.0015419664935544,4
-0.0064313196846667,-0.0021919068462718,-0.0210166632082824,-0.0053287856177681,0.0120145513296704,4
