Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.1189029593370567,0.1092188539929144,0.1154759590932673,0.061787308287184,0.0121556704555105,0
0.0952123043804934,0.1160680348109675,0.0880076303257738,0.0518818905399402,0.0415109859600633,0
0.0686305894647136,0.0947591742198199,0.1049277993601901,0.0419399867209955,0.0568178357754736,0
0.0630824877037788,0.0326327918328731,0.0757706834362091,0.0502237530594114,0.0301410829243626,0
0.031486661882746,0.0610789950389521,0.027485490235264,0.0397288355317644,0.0480530074095952,0
0.0644988702469149,0.053534625433088,0.0453253122544875,0.0199509794801028,0.0154542636296736,0
0.0444352135323832,0.0530916879997095,0.0646815975772274,0.0118123972687045,0.0,1
0.0352997442311075,0.0569761993160309,0.0321216608492208,0.0217634111723891,0.0,1
0.0340426704513124,0.0184071731036697,0.0444847677177757,0.0065054876048236,0.0185648235654989,0
0.0245126848922025,0.0295063723690038,0.0467667624643653,0.0062876799275535,0.0146949650166349,0
0.0166743323175202,0.0234780396956777,0.0107537817275584,0.0166738856554035,0.0305083721840177,0
0.0160720133365884,0.0233523544070731,0.0277295863781274,0.0152477156473652,0.0061698405291347,0
0.0102114819216296,0.0356038845779298,0.0085816273521391,0.0103719845770632,0.003968053734876,0
0.0132501296270224,0.0078279518372524,0.0069801698869604,0.0042624958230212,0.0,2
0.0075634016396055,0.0120143057664598,0.0045288402614545,0.0,0.0,2
-0.0024468230502527,0.0114202272905503,0.0007839963949222,0.0007385614411333,0.0,5
