name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6931768116776027,0.94
2_DecisionTree,Decision Tree,logloss,0.31361971055495963,8.6
3_Linear,Linear,logloss,0.1632144977778865,6.86
4_Default_Xgboost,Xgboost,logloss,0.0653757160222434,5.95
5_Default_NeuralNetwork,Neural Network,logloss,0.1218247629401872,2.63
6_Default_RandomForest,Random Forest,logloss,0.20317073634566843,3.24
Ensemble,Ensemble,logloss,0.0653757127298636,1.39
