name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6931768116776027,0.77
2_DecisionTree,Decision Tree,logloss,0.31361971055495963,8.36
3_Linear,Linear,logloss,0.1632144977778865,6.98
4_Default_Xgboost,Xgboost,logloss,0.0653757160222434,5.6
5_Default_NeuralNetwork,Neural Network,logloss,0.1218247629401872,4.06
6_Default_RandomForest,Random Forest,logloss,0.20317073634566843,2.98
Ensemble,Ensemble,logloss,0.0653757127298636,1.46
