name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,auc,0.5,1.58
2_DecisionTree,Decision Tree,auc,0.9246823956442831,2.98
3_Linear,Linear,auc,0.9809437386569873,3.94
4_Default_Xgboost,Xgboost,auc,1.0,4.0
5_Default_NeuralNetwork,Neural Network,auc,0.9909255898366606,2.54
6_Default_RandomForest,Random Forest,auc,0.984875983061101,3.46
Ensemble,Ensemble,auc,1.0,1.42
