name,model_type,metric_type,metric_value,train_time
85_NeuralNetwork,Neural Network,f1,0.9372197309417041,14.36
86_NeuralNetwork,Neural Network,f1,0.9155555555555556,14.56
87_NeuralNetwork,Neural Network,f1,0.9298245614035088,14.92
88_RandomForest,Random Forest,f1,0.9559471365638766,16.59
89_NeuralNetwork,Neural Network,f1,0.948051948051948,13.17
90_ExtraTrees,Extra Trees,f1,0.9301310043668122,16.78
91_ExtraTrees,Extra Trees,f1,0.9288888888888889,16.59
92_NearestNeighbors,Nearest Neighbors,f1,0.9279279279279279,14.35
93_RandomForest,Random Forest,f1,0.9264069264069265,17.1
94_RandomForest,Random Forest,f1,0.9391304347826087,16.9
95_ExtraTrees,Extra Trees,f1,0.9301310043668122,16.56
96_NearestNeighbors,Nearest Neighbors,f1,0.9279279279279279,15.17
97_DecisionTree,Decision Tree,f1,0.9055793991416309,14.93
98_DecisionTree,Decision Tree,f1,0.9055793991416309,15.19
99_DecisionTree,Decision Tree,f1,0.8669527896995708,15.2
100_LightGBM,LightGBM,f1,0.9690265486725663,18.08
101_Xgboost,Xgboost,f1,0.9601769911504425,16.57
102_RandomForest,Random Forest,f1,0.9429824561403509,18.03
28_LightGBM_KMeansFeatures_BoostOnErrors,LightGBM,f1,0.9760348583877996,18.34
Ensemble,Ensemble,f1,0.9760348583877996,19.4
