Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0374324061629571,0.1098959715858304,0.1513081649243895,0.0757754766649889,0.1191645508938238,0
0.0981622995358763,0.1286940234958452,0.0593915525434046,0.0442668295376804,0.1227775836715097,0
0.0695661909312354,0.0701969436003101,0.0872592636100144,0.0762592777201607,0.0720273712933225,0
0.0229177594841516,0.1008438977180246,0.0407013336447827,0.0296918507389966,0.064384965917919,0
0.0609156290644257,0.0789687558703204,0.0139806497442735,0.0096774234239425,0.0843406846360135,0
0.0140707328218919,0.060918024584159,0.010086806356259,0.0154108658694525,0.0458907743871561,0
0.0245440563477505,0.0081326818254144,0.0272624984184002,0.0214611743094208,0.0396401480248732,0
-0.0097587137074485,0.0313194338468343,0.0345463272617528,0.0379862084027893,0.0226441608068345,1
0.0077893054478366,0.0385633241051332,0.0190730269038118,0.0206706425740204,0.0216157446210311,0
0.0379959711375114,0.0521491407130567,0.0,0.0,0.0077995981377561,2
-0.0095036301016593,0.012590752884795,0.0242494647066671,0.0261812157867618,0.018508087079106,1
-0.0166583465967837,0.0337991165991444,0.0159768189182021,0.0088966541081642,0.019677195012462,1
0.0097503113113212,0.0235475304113979,0.0009014557643431,0.0107472171605659,0.0018442219214027,1
-0.0001706315980343,0.0279802406749676,-0.0020475447071301,0.0039930507001818,0.006175122196586,2
-0.0153188360676183,0.0034198786817656,0.0190380183837848,0.0061396507996233,0.015393752692116,1
-0.0151299388500624,-0.0114314064837889,-0.0011699629853333,-0.0020469013758442,0.004622721224993,5
